GunID,GunName,GunDesign,GunNation,GunDateOfDesign,GunCaliber,GunLength,GunWeight,GunMaxRateOfFire,GunNominalRateOfFire,GunLoading,SurfaceShellVelocity,AAShellVelocity,GunAmmo,GunsSource
343-bg-markv-l,"13.5""/45 Mark V (L)","Vickers 13.5""",britain,1909-01-01,343,45,76102,2,1.5,Breech,787,0,80,http://www.navweaps.com/Weapons/WNBR_135-45_mk5.php
343-bg-markv-h,"13.5""/45 Mark V (H)","Vickers 13.5""",britain,1909-01-01,343,45,76102,2,1.5,Breech,759,0,100,http://www.navweaps.com/Weapons/WNBR_135-45_mk5.php
343-bg-bl-markvi,"13.5""/45 BL Mark VI","Vickers 13.5""",britain,1909-01-01,343,45,77829,2,1.5,Breech,745,0,80,http://www.navweaps.com/Weapons/WNBR_135-45_mk6.php
305-bg-markxiii,"12""/45 Mark XIII","Elswick 12""",britain,1910-01-01,305,45,57711,1.5,1,Breech,831,0,80,http://www.navweaps.com/Weapons/WNBR_12-45_mk13.php
305-bg-v1909,305mm/46 Model 1909,"Vickers 12""",britain,1909-01-01,305,46,63500,2,2,Breech,840,0,100,http://www.navweaps.com/Weapons/WNIT_12-46_m1909.php
305-bg-e1909,305mm/46 Model 1909,"Elswick 12""",britain,1909-01-01,305,46,63500,2,2,Breech,840,0,100,http://www.navweaps.com/Weapons/WNIT_12-46_m1909.php
305-bg-markxi,"12""/50 Mark XI","Vickers 12""",britain,1906-01-01,305,50,67770,1.5,1,Breech,869,0,100,http://www.navweaps.com/Weapons/WNBR_12-50_mk11.php
305-bg-armstrong-vickers,"12""/50 Armstrong/Vickers","Armstrong/Vickers 12""",britain,1905-01-01,305,50,68000,2,1.8,Breech,869,0,100,http://www.navweaps.com/Weapons/WNJAP_12-50_EA.php
305-bg-armstrong,"12""/45 Armstrong","Armstrong 12""",britain,1904-01-01,305,45,60200,2,1.8,Breech,810,0,100,http://www.navweaps.com/Weapons/WNJAP_12-45_EA.php
305-bg-markx,"12""/45 Mark X","Vickers 12""",britain,1903-01-01,305,45,58626,1.5,1,Breech,831,0,80,http://www.navweaps.com/Weapons/WNBR_12-45_mk10.php
305-bg-markix-ki,"12""/40 Mark IX","Vickers 12""",britain,1898-01-01,305,40,51000,1.5,1,Breech,796,0,105,http://www.navweaps.com/Weapons/WNBR_12-40_mk9.php
305-bg-markix,"12""/40 Mark IX","Vickers 12""",britain,1898-01-01,305,40,51000,1.5,1,Breech,778,0,80,http://www.navweaps.com/Weapons/WNBR_12-40_mk9.php
305-bg-elswick-i,"12""/40 Elswick I","Elswick 12""",britain,1898-01-01,305,40,54300,1,1,Breech,780,0,130,http://www.navweaps.com/Weapons/WNIT_12-40.php
305-bg-41st-year,"12""/40 41st Year Type","Elswick 12""",britain,1898-01-01,305,40,50000,1,1,Breech,732,0,130,http://www.navweaps.com/Weapons/WNJAP_12-40_EOC.php
305-bg-markviii-maj,"12""/35 BL Mark VIII (Majestic","British 12""",britain,1890-01-01,305,35,47000,0.86,0.6,Breech,716,0,80,http://www.navweaps.com/Weapons/WNBR_12-35_mk8.php
305-bg-markviii,"12""/35 BL Mark VIII","British 12""",britain,1890-01-01,305,35,47000,1.33,0.9,Breech,716,0,80,http://www.navweaps.com/Weapons/WNBR_12-35_mk8.php
254-bg-41st-year,"10""/45 41st Year Type","Vickers 10""",britain,1905-01-01,254,45,22500,2,1.5,Breech,810,0,,http://www.navweaps.com/Weapons/WNJAP_10-45_Vickers.php
